AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_INGRESSANTES_ID_PESSOA,CONTAGEM_INGRESSOS_ID_PESSOA_PROGRAMA
2018,49,CIÊNCIAS AMBIENTAIS,2819,2820
2018,50,NUTRIÇÃO,603,608
2019,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2593,2610
2019,2,CIÊNCIA DA COMPUTAÇÃO,2961,2969
2019,3,ASTRONOMIA / FÍSICA,1619,1635
2019,4,QUÍMICA,2122,2128
2019,5,GEOCIÊNCIAS,1241,1249
2019,6,CIÊNCIAS BIOLÓGICAS I,1256,1258
2019,7,BIODIVERSIDADE,2420,2430
2019,8,CIÊNCIAS BIOLÓGICAS II,1657,1658
2019,9,CIÊNCIAS BIOLÓGICAS III,738,739
2019,10,ENGENHARIAS I,3313,3334
2019,11,ARTES,1578,1583
2019,12,ENGENHARIAS II,2743,2768
2019,13,ENGENHARIAS III,3674,3688
2019,14,ENGENHARIAS IV,3059,3072
2019,15,MEDICINA I,2751,2752
2019,16,MEDICINA II,2183,2183
2019,17,MEDICINA III,924,924
2019,18,ODONTOLOGIA,2716,2729
2019,19,FARMÁCIA,1328,1334
2019,20,ENFERMAGEM,1988,1990
2019,21,EDUCAÇÃO FÍSICA,1873,1874
2019,22,SAÚDE COLETIVA,2445,2449
2019,23,ZOOTECNIA / RECURSOS PESQUEIROS,1481,1503
2019,24,MEDICINA VETERINÁRIA,1926,1928
2019,25,CIÊNCIA DE ALIMENTOS,1059,1062
2019,26,DIREITO,5042,5058
2019,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",5111,5126
2019,28,ECONOMIA,1599,1608
2019,29,"ARQUITETURA, URBANISMO E DESIGN",1717,1719
2019,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,957,957
2019,31,COMUNICAÇÃO E INFORMAÇÃO,2126,2131
2019,32,SERVIÇO SOCIAL,824,826
2019,33,FILOSOFIA,1303,1312
2019,34,SOCIOLOGIA,1386,1393
