AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_EGRESSOS_ID_PESSOA,CONTAGEM_EGRESSOS_ID_PESSOA_PROGRAMA
2013,25,CIÊNCIA DE ALIMENTOS,861,861
2013,26,DIREITO,2229,2230
2013,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",2600,2601
2013,28,ECONOMIA,971,971
2013,29,"ARQUITETURA, URBANISMO E DESIGN",743,743
2013,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,485,485
2013,31,COMUNICAÇÃO E INFORMAÇÃO,1073,1074
2013,32,SERVIÇO SOCIAL,474,474
2013,33,FILOSOFIA,602,602
2013,34,SOCIOLOGIA,1011,1011
2013,35,ANTROPOLOGIA / ARQUEOLOGIA,370,370
2013,36,GEOGRAFIA,1042,1042
2013,37,PSICOLOGIA,1723,1723
2013,38,EDUCAÇÃO,4120,4122
2013,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,481,481
2013,40,HISTÓRIA,1299,1299
2013,41,LETRAS / LINGUÍSTICA,3243,3244
2013,42,CIÊNCIAS AGRÁRIAS I,3964,3964
2013,44,TEOLOGIA,403,403
2013,45,INTERDISCIPLINAR,3346,3346
2013,46,ENSINO,1156,1156
2013,47,MATERIAIS,386,386
2013,48,BIOTECNOLOGIA,614,614
2013,49,CIÊNCIAS AMBIENTAIS,1034,1034
2013,50,NUTRIÇÃO,299,299
2014,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1511,1511
2014,2,CIÊNCIA DA COMPUTAÇÃO,1547,1547
2014,3,ASTRONOMIA / FÍSICA,885,885
2014,4,QUÍMICA,1707,1707
2014,5,GEOCIÊNCIAS,791,791
2014,6,CIÊNCIAS BIOLÓGICAS I,1238,1238
2014,7,BIODIVERSIDADE,2200,2200
2014,8,CIÊNCIAS BIOLÓGICAS II,1302,1302
2014,9,CIÊNCIAS BIOLÓGICAS III,608,608
2014,10,ENGENHARIAS I,1688,1688
2014,11,ARTES / MÚSICA,941,941
2014,12,ENGENHARIAS II,1814,1814
2014,13,ENGENHARIAS III,2339,2339
2014,14,ENGENHARIAS IV,1687,1688
2014,15,MEDICINA I,1855,1855
2014,16,MEDICINA II,1674,1674
2014,17,MEDICINA III,592,592
2014,18,ODONTOLOGIA,1856,1857
2014,19,FARMÁCIA,962,962
2014,20,ENFERMAGEM,1360,1360
2014,21,EDUCAÇÃO FÍSICA,1052,1052
2014,22,SAÚDE COLETIVA,1457,1457
2014,23,ZOOTECNIA / RECURSOS PESQUEIROS,1351,1351
2014,24,MEDICINA VETERINÁRIA,1392,1392
2014,25,CIÊNCIA DE ALIMENTOS,871,871
2014,26,DIREITO,2597,2598
2014,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",2790,2790
2014,28,ECONOMIA,1040,1040
2014,29,"ARQUITETURA, URBANISMO E DESIGN",745,745
2014,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,542,542
2014,31,COMUNICAÇÃO E INFORMAÇÃO,1160,1160
2014,32,SERVIÇO SOCIAL,523,523
2014,33,FILOSOFIA,609,609
2014,34,SOCIOLOGIA,1054,1054
2014,35,ANTROPOLOGIA / ARQUEOLOGIA,398,398
2014,36,GEOGRAFIA,1044,1044
2014,37,PSICOLOGIA,1732,1732
2014,38,EDUCAÇÃO,4269,4269
2014,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,467,467
2014,40,HISTÓRIA,1342,1342
2014,41,LETRAS / LINGUÍSTICA,3456,3457
2014,42,CIÊNCIAS AGRÁRIAS I,4192,4193
2014,44,TEOLOGIA,401,401
2014,45,INTERDISCIPLINAR,3766,3777
2014,46,ENSINO,1359,1359
2014,47,MATERIAIS,423,423
2014,48,BIOTECNOLOGIA,624,624
2014,49,CIÊNCIAS AMBIENTAIS,1094,1094
2014,50,NUTRIÇÃO,342,342
2015,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1474,1474
2015,2,CIÊNCIA DA COMPUTAÇÃO,1688,1688
2015,3,ASTRONOMIA / FÍSICA,1084,1084
2015,4,QUÍMICA,1701,1701
2015,5,GEOCIÊNCIAS,867,867
2015,6,CIÊNCIAS BIOLÓGICAS I,1212,1212
2015,7,BIODIVERSIDADE,2212,2212
2015,8,CIÊNCIAS BIOLÓGICAS II,1349,1349
2015,9,CIÊNCIAS BIOLÓGICAS III,640,640
2015,10,ENGENHARIAS I,1847,1847
2015,11,ARTES / MÚSICA,979,979
2015,12,ENGENHARIAS II,1880,1880
2015,13,ENGENHARIAS III,2644,2646
2015,14,ENGENHARIAS IV,1840,1840
2015,15,MEDICINA I,1928,1928
2015,16,MEDICINA II,1799,1799
2015,17,MEDICINA III,652,652
2015,18,ODONTOLOGIA,2063,2063
2015,19,FARMÁCIA,1038,1038
2015,20,ENFERMAGEM,1440,1440
2015,21,EDUCAÇÃO FÍSICA,1161,1161
2015,22,SAÚDE COLETIVA,1470,1470
2015,23,ZOOTECNIA / RECURSOS PESQUEIROS,1317,1317
2015,24,MEDICINA VETERINÁRIA,1459,1459
2015,25,CIÊNCIA DE ALIMENTOS,876,876
2015,26,DIREITO,2622,2623
2015,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",3083,3084
2015,28,ECONOMIA,1032,1032
2015,29,"ARQUITETURA, URBANISMO E DESIGN",878,878
2015,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,557,557
2015,31,COMUNICAÇÃO E INFORMAÇÃO,1222,1222
2015,32,SERVIÇO SOCIAL,542,542
2015,33,FILOSOFIA,664,664
2015,34,SOCIOLOGIA,1116,1116
2015,35,ANTROPOLOGIA / ARQUEOLOGIA,452,452
2015,36,GEOGRAFIA,1181,1182
2015,37,PSICOLOGIA,1829,1829
2015,38,EDUCAÇÃO,4673,4673
2015,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,541,541
2015,40,HISTÓRIA,1549,1549
2015,41,LETRAS / LINGUÍSTICA,4025,4025
2015,42,CIÊNCIAS AGRÁRIAS I,4122,4122
