NM_SUBAREA_CONHECIMENTO,CD_AREA_AVALIACAO,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,NM_REGIAO,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,NM_PROGRAMA_IES,CD_CONCEITO_PROGRAMA,AN_INICIO_PROGRAMA,DS_SITUACAO_PROGRAMA
NÃO SE APLICA,1,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ESTATÍSTICA,5,1977,EM FUNCIONAMENTO
NÃO SE APLICA,12,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ENGENHARIA QUÍMICA,7,1980,EM FUNCIONAMENTO
NÃO SE APLICA,7,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,BIOLOGIA VEGETAL,6,1977,EM FUNCIONAMENTO
NÃO SE APLICA,29,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,"ARQUITETURA, TECNOLOGIA E CIDADE",5,2012,EM FUNCIONAMENTO
NÃO SE APLICA,9,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,BIOLOGIA ANIMAL,4,1988,EM FUNCIONAMENTO
NÃO SE APLICA,34,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,SOCIOLOGIA,6,1974,EM FUNCIONAMENTO
CIRURGIA,17,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CIÊNCIAS DA CIRURGIA,5,1988,EM FUNCIONAMENTO
NÃO SE APLICA,13,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ENGENHARIA MECÂNICA,6,1974,EM FUNCIONAMENTO
NÃO SE APLICA,3,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,FÍSICA,7,1969,EM FUNCIONAMENTO
ENSINO DE CIÊNCIAS E MATEMÁTICA,46,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,ENSINO E HISTÓRIA DE CIÊNCIAS DA TERRA,4,2004,EM FUNCIONAMENTO
NÃO SE APLICA,30,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,DEMOGRAFIA,6,1993,EM FUNCIONAMENTO
SAÚDE E BIOLÓGICAS,45,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,"SAÚDE, INTERDISCIPLINARIDADE E REABILITAÇÃO",4,2012,EM FUNCIONAMENTO
NÃO SE APLICA,11,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,MÚSICA,6,2001,EM FUNCIONAMENTO
"SOCIAIS, CULTURAS E HUMANIDADES",45,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,DIVULGAÇÃO CIENTÍFICA E CULTURAL,5,2008,EM FUNCIONAMENTO
NÃO SE APLICA,8,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,FARMACOLOGIA,5,1989,EM FUNCIONAMENTO
NÃO SE APLICA,25,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,CIÊNCIA DE ALIMENTOS,7,1969,EM FUNCIONAMENTO
NÃO SE APLICA,40,ESTADUAL,PÚBLICA,SUDESTE,SP,CAMPINAS,ACADÊMICO,HISTÓRIA,7,1976,EM FUNCIONAMENTO
NÃO SE APLICA,50,ESTADUAL,PÚBLICA,SUDESTE,SP,LIMEIRA,ACADÊMICO,CIÊNCIAS DA NUTRIÇÃO E DO ESPORTE E METABOLISMO,5,2011,EM FUNCIONAMENTO
NÃO SE APLICA,13,ESTADUAL,PÚBLICA,SUDESTE,SP,LIMEIRA,ACADÊMICO,ENGENHARIA DE PRODUÇÃO E DE MANUFATURA,4,2013,EM FUNCIONAMENTO
NÃO SE APLICA,30,ESTADUAL,PÚBLICA,SUDESTE,SP,LIMEIRA,ACADÊMICO,INTERDISCIPLINAR EM CIÊNCIAS HUMANAS E SOCIAIS APLICADAS,3,2014,EM FUNCIONAMENTO
NÃO SE APLICA,27,ESTADUAL,PÚBLICA,SUDESTE,SP,LIMEIRA,ACADÊMICO,ADMINISTRAÇÃO,5,2017,EM FUNCIONAMENTO
"ENGENHARIA, TECNOLOGIA E GESTÃO",45,ESTADUAL,PÚBLICA,SUDESTE,SP,LIMEIRA,ACADÊMICO,TECNOLOGIA,4,2009,EM FUNCIONAMENTO
NÃO SE APLICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,PIRACICABA,ACADÊMICO,BIOLOGIA BUCO-DENTAL,5,1974,EM FUNCIONAMENTO
RADIOLOGIA ODONTOLÓGICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,PIRACICABA,ACADÊMICO,RADIOLOGIA ODONTOLÓGICA,5,1983,EM FUNCIONAMENTO
NÃO SE APLICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,PIRACICABA,ACADÊMICO,ODONTOLOGIA,7,1978,EM FUNCIONAMENTO
MATERIAIS ODONTOLÓGICOS,18,ESTADUAL,PÚBLICA,SUDESTE,SP,PIRACICABA,ACADÊMICO,MATERIAIS DENTÁRIOS,6,1983,EM FUNCIONAMENTO
NÃO SE APLICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,PIRACICABA,ACADÊMICO,ESTOMATOPATOLOGIA,7,1999,EM FUNCIONAMENTO
ODONTOLOGIA SOCIAL E PREVENTIVA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,PIRACICABA,PROFISSIONAL,GESTÃO E SAÚDE COLETIVA,5,2003,EM FUNCIONAMENTO
CLÍNICA ODONTOLÓGICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,PIRACICABA,ACADÊMICO,CLÍNICA ODONTOLÓGICA,7,1993,EM FUNCIONAMENTO
POLÍTICA INTERNACIONAL,39,ESTADUAL,PÚBLICA,SUDESTE,SP,SÃO PAULO,ACADÊMICO,RELAÇÕES INTERNACIONAIS (UNESP - UNICAMP - PUC-SP),5,2003,EM FUNCIONAMENTO
NÃO SE APLICA,36,ESTADUAL,PÚBLICA,SUDESTE,SP,SÃO PAULO,ACADÊMICO,DESENVOLVIMENTO TERRITORIAL NA AMÉRICA LATINA E CARIBE,4,2013,EM FUNCIONAMENTO
MÚSICA,11,ESTADUAL,PÚBLICA,SUDESTE,SP,SÃO PAULO,ACADÊMICO,MÚSICA,4,2002,EM FUNCIONAMENTO
NÃO SE APLICA,11,ESTADUAL,PÚBLICA,SUDESTE,SP,SÃO PAULO,ACADÊMICO,ARTES,5,1991,EM FUNCIONAMENTO
NÃO SE APLICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,ARAÇATUBA,ACADÊMICO,ODONTOLOGIA,5,1977,EM FUNCIONAMENTO
NÃO SE APLICA,24,ESTADUAL,PÚBLICA,SUDESTE,SP,ARAÇATUBA,ACADÊMICO,CIÊNCIA ANIMAL,5,2004,EM FUNCIONAMENTO
NÃO SE APLICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,ARAÇATUBA,ACADÊMICO,CIÊNCIAS,6,1993,EM FUNCIONAMENTO
NÃO SE APLICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,ARAÇATUBA,ACADÊMICO,SAÚDE COLETIVA EM ODONTOLOGIA,4,1994,EM FUNCIONAMENTO
NÃO SE APLICA,4,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,QUÍMICA,7,1993,EM FUNCIONAMENTO
NÃO SE APLICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,CIÊNCIAS ODONTOLÓGICAS,5,1978,EM FUNCIONAMENTO
NÃO SE APLICA,38,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,PROFISSIONAL,EDUCAÇÃO SEXUAL,4,2013,EM FUNCIONAMENTO
NÃO SE APLICA,41,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,LINGUÍSTICA E LÍNGUA PORTUGUESA,6,1977,EM FUNCIONAMENTO
NÃO SE APLICA,41,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,ESTUDOS LITERÁRIOS,5,1980,EM FUNCIONAMENTO
TECNOLOGIA QUÍMICA,12,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,PROFISSIONAL,ENGENHARIA DE BIOMATERIAIS E BIOPROCESSOS,4,2017,EM FUNCIONAMENTO
NÃO SE APLICA,18,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,ODONTOLOGIA,7,1990,EM FUNCIONAMENTO
NÃO SE APLICA,19,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,CIÊNCIAS FARMACÊUTICAS,6,1997,EM FUNCIONAMENTO
NÃO SE APLICA,48,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,BIOTECNOLOGIA,5,1995,EM FUNCIONAMENTO
NÃO SE APLICA,28,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,ECONOMIA,4,1998,EM FUNCIONAMENTO
NÃO SE APLICA,19,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,BIOCIÊNCIAS E BIOTECNOLOGIA APLICADAS À FARMÁCIA,7,1997,EM FUNCIONAMENTO
NÃO SE APLICA,38,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,EDUCAÇÃO ESCOLAR,4,1997,EM FUNCIONAMENTO
NÃO SE APLICA,34,ESTADUAL,PÚBLICA,SUDESTE,SP,ARARAQUARA,ACADÊMICO,CIÊNCIAS SOCIAIS,4,1981,EM FUNCIONAMENTO
