AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,IN_REDE,SG_UF_PROGRAMA,CD_PROGRAMA_IES,NM_PROGRAMA_IES,DS_SITUACAO_PROGRAMA
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,ES,30001013019P8,AGRONOMIA,EM FUNCIONAMENTO
2024,7,BIODIVERSIDADE,NÃO,ES,30001013014P6,CIÊNCIAS BIOLÓGICAS,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,ES,30001013055P4,ENSINO NA EDUCAÇÃO BÁSICA,EM FUNCIONAMENTO
2024,28,ECONOMIA,NÃO,ES,30001013008P6,ECONOMIA,EM FUNCIONAMENTO
2024,38,EDUCAÇÃO,NÃO,ES,30001013001P1,EDUCAÇÃO,EM FUNCIONAMENTO
2024,48,BIOTECNOLOGIA,NÃO,ES,30001013029P3,BIOTECNOLOGIA,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,ES,30001013044P2,ENSINO DE FÍSICA,EM FUNCIONAMENTO
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",NÃO,ES,30001013015P2,ADMINISTRAÇÃO,EM FUNCIONAMENTO
2024,8,CIÊNCIAS BIOLÓGICAS II,NÃO,ES,30001013002P8,CIÊNCIAS FISIOLÓGICAS,EM FUNCIONAMENTO
2024,2,COMPUTAÇÃO,NÃO,ES,30001013007P0,INFORMÁTICA,EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,ES,30001013042P0,AGRICULTURA TROPICAL,EM FUNCIONAMENTO
2024,3,ASTRONOMIA / FÍSICA,NÃO,ES,30001013005P7,FÍSICA,EM FUNCIONAMENTO
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",NÃO,ES,30001013045P9,GESTÃO PÚBLICA,EM FUNCIONAMENTO
2024,45,INTERDISCIPLINAR,NÃO,ES,30001013047P1,ENERGIA,EM FUNCIONAMENTO
2024,18,ODONTOLOGIA,NÃO,ES,30001013109P7,CIÊNCIAS ODONTOLÓGICAS,EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,ES,30001013104P5,AGROQUÍMICA,EM FUNCIONAMENTO
2024,12,ENGENHARIAS II,NÃO,ES,30001013054P8,ENGENHARIA QUÍMICA,EM FUNCIONAMENTO
2024,32,SERVIÇO SOCIAL,NÃO,ES,30001013020P6,POLÍTICA SOCIAL,EM FUNCIONAMENTO
2024,16,MEDICINA II,NÃO,ES,30001013010P0,DOENÇAS INFECCIOSAS,EM FUNCIONAMENTO
2024,34,SOCIOLOGIA,NÃO,ES,30001013035P3,CIÊNCIAS SOCIAIS,EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,ES,30001013053P1,GENÉTICA E MELHORAMENTO,EM FUNCIONAMENTO
2024,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",NÃO,ES,30001013041P3,CIÊNCIAS CONTÁBEIS,EM FUNCIONAMENTO
2024,14,ENGENHARIAS IV,NÃO,ES,30001013004P0,ENGENHARIA ELÉTRICA,EM FUNCIONAMENTO
2024,24,MEDICINA VETERINÁRIA,NÃO,ES,30001013033P0,CIÊNCIAS VETERINÁRIAS,EM FUNCIONAMENTO
2024,26,DIREITO,NÃO,ES,30001013027P0,DIREITO PROCESSUAL,EM FUNCIONAMENTO
2024,41,LINGUÍSTICA E LITERATURA,NÃO,ES,30001013013P0,LETRAS,EM FUNCIONAMENTO
2024,33,FILOSOFIA,NÃO,ES,30001013037P6,FILOSOFIA,EM FUNCIONAMENTO
2024,31,COMUNICAÇÃO E INFORMAÇÃO,NÃO,ES,30001013108P0,CIÊNCIA DA INFORMAÇÃO,EM FUNCIONAMENTO
2024,22,SAÚDE COLETIVA,NÃO,ES,30001013110P5,SAÚDE COLETIVA,EM FUNCIONAMENTO
2024,31,COMUNICAÇÃO E INFORMAÇÃO,NÃO,ES,30001013057P7,COMUNICAÇÃO E TERRITORIALIDADES,EM FUNCIONAMENTO
2024,50,NUTRIÇÃO,NÃO,ES,30001013103P9,NUTRIÇÃO E SAÚDE,EM FUNCIONAMENTO
2024,37,PSICOLOGIA,NÃO,ES,30001013028P7,PSICOLOGIA INSTITUCIONAL,EM FUNCIONAMENTO
2024,29,"ARQUITETURA, URBANISMO E DESIGN",NÃO,ES,30001013030P1,ARQUITETURA E URBANISMO,EM FUNCIONAMENTO
2024,42,CIÊNCIAS AGRÁRIAS I,NÃO,ES,30001013016P9,BIOLOGIA VEGETAL,EM FUNCIONAMENTO
2024,19,FARMÁCIA,NÃO,ES,30001013056P0,CIÊNCIAS FARMACÊUTICAS,EM FUNCIONAMENTO
2024,25,CIÊNCIA DE ALIMENTOS,NÃO,ES,30001013046P5,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,EM FUNCIONAMENTO
2024,13,ENGENHARIAS III,NÃO,ES,30001013011P7,ENGENHARIA MECÂNICA,EM FUNCIONAMENTO
2024,3,ASTRONOMIA / FÍSICA,SIM,ES,30001013105P1,"ASTROFÍSICA, COSMOLOGIA E GRAVITAÇÃO",EM FUNCIONAMENTO
2024,36,GEOGRAFIA,NÃO,ES,30001013034P7,GEOGRAFIA,EM FUNCIONAMENTO
2024,40,HISTÓRIA,NÃO,ES,30001013017P5,HISTÓRIA,EM FUNCIONAMENTO
2024,10,ENGENHARIAS I,NÃO,ES,30001013012P3,ENGENHARIA CIVIL,EM FUNCIONAMENTO
2024,10,ENGENHARIAS I,NÃO,ES,30001013003P4,ENGENHARIA AMBIENTAL,EM FUNCIONAMENTO
2024,11,ARTES,NÃO,ES,30001013024P1,ARTES,EM FUNCIONAMENTO
2024,8,CIÊNCIAS BIOLÓGICAS II,NÃO,ES,30001013049P4,BIOQUÍMICA,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,ES,30001013106P8,"ENSINO, EDUCAÇÃO BÁSICA E FORMAÇÃO DE PROFESSORES",EM FUNCIONAMENTO
2024,10,ENGENHARIAS I,NÃO,ES,30001013036P0,ENGENHARIA E DESENVOLVIMENTO SUSTENTÁVEL,EM FUNCIONAMENTO
2024,20,ENFERMAGEM,NÃO,ES,30001013048P8,ENFERMAGEM,EM FUNCIONAMENTO
2024,41,LINGUÍSTICA E LITERATURA,NÃO,ES,30001013022P9,LINGÜÍSTICA,EM FUNCIONAMENTO
2024,38,EDUCAÇÃO,NÃO,ES,30001013107P4,PROFISSIONAL EM EDUCAÇÃO,EM FUNCIONAMENTO
2024,49,CIÊNCIAS AMBIENTAIS,NÃO,ES,30001013031P8,OCEANOGRAFIA AMBIENTAL,EM FUNCIONAMENTO
2024,4,QUÍMICA,NÃO,ES,30001013021P2,QUÍMICA,EM FUNCIONAMENTO
2024,21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",NÃO,ES,30001013025P8,EDUCAÇÃO FÍSICA,EM FUNCIONAMENTO
