AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_INGRESSANTES_ID_PESSOA,CONTAGEM_INGRESSOS_ID_PESSOA_PROGRAMA
2011,3,ASTRONOMIA / FÍSICA,968,1094
2011,4,QUÍMICA,2299,2776
2011,5,GEOCIÊNCIAS,1072,1220
2011,6,CIÊNCIAS BIOLÓGICAS I,1707,1852
2011,7,BIODIVERSIDADE,3038,3298
2011,8,CIÊNCIAS BIOLÓGICAS II,1901,2017
2011,9,CIÊNCIAS BIOLÓGICAS III,868,890
2011,10,ENGENHARIAS I,2611,2755
2011,11,ARTES / MÚSICA,1070,1154
2011,12,ENGENHARIAS II,2931,3114
2011,13,ENGENHARIAS III,3800,4010
2011,14,ENGENHARIAS IV,2396,2544
2011,15,MEDICINA I,2883,3101
2011,16,MEDICINA II,2508,2563
2011,17,MEDICINA III,898,970
2011,18,ODONTOLOGIA,2597,3024
2011,19,FARMÁCIA,1527,1616
2011,20,ENFERMAGEM,2048,2192
2011,21,EDUCAÇÃO FÍSICA,1361,1430
2011,22,SAÚDE COLETIVA,1822,1909
2011,23,ZOOTECNIA / RECURSOS PESQUEIROS,2075,2247
2011,24,MEDICINA VETERINÁRIA,2177,2364
2011,25,CIÊNCIA DE ALIMENTOS,1363,1459
2011,26,DIREITO,2941,3078
2011,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3516,4000
2011,28,ECONOMIA,1192,1301
2011,29,ARQUITETURA E URBANISMO,1042,1088
2011,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,752,766
2011,31,CIÊNCIAS SOCIAIS APLICADAS I,1396,1473
2011,32,SERVIÇO SOCIAL,842,872
2011,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,767,844
2011,34,SOCIOLOGIA,1444,1531
2011,35,ANTROPOLOGIA / ARQUEOLOGIA,498,516
2011,36,GEOGRAFIA,1533,1641
2011,37,PSICOLOGIA,2353,2568
2011,38,EDUCAÇÃO,5105,5354
2011,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,627,659
2011,40,HISTÓRIA,1837,2009
2011,41,LETRAS / LINGUÍSTICA,4416,4997
2011,42,CIÊNCIAS AGRÁRIAS I,5538,6731
2011,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,455,467
2011,45,INTERDISCIPLINAR,5923,6054
2011,46,ENSINO,1567,1626
2011,47,MATERIAIS,748,758
2011,48,BIOTECNOLOGIA,1060,1076
2011,49,CIÊNCIAS AMBIENTAIS,1726,1800
2011,50,NUTRIÇÃO,543,550
2012,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,810,962
2012,2,CIÊNCIA DA COMPUTAÇÃO,2501,2667
2012,3,ASTRONOMIA / FÍSICA,946,1112
2012,4,QUÍMICA,2212,2431
2012,5,GEOCIÊNCIAS,1084,1172
2012,6,CIÊNCIAS BIOLÓGICAS I,2041,2251
2012,7,BIODIVERSIDADE,2844,3145
2012,8,CIÊNCIAS BIOLÓGICAS II,1608,1707
2012,9,CIÊNCIAS BIOLÓGICAS III,850,869
2012,10,ENGENHARIAS I,2901,3081
2012,11,ARTES / MÚSICA,1227,1307
2012,12,ENGENHARIAS II,2818,2993
2012,13,ENGENHARIAS III,3996,4257
2012,14,ENGENHARIAS IV,2616,2799
2012,15,MEDICINA I,2776,2955
2012,16,MEDICINA II,2384,2451
2012,17,MEDICINA III,970,1046
2012,18,ODONTOLOGIA,2831,3146
2012,19,FARMÁCIA,1461,1537
2012,20,ENFERMAGEM,2136,2355
2012,21,EDUCAÇÃO FÍSICA,1789,1912
2012,22,SAÚDE COLETIVA,2204,2352
2012,23,ZOOTECNIA / RECURSOS PESQUEIROS,2306,2545
2012,24,MEDICINA VETERINÁRIA,2509,2686
2012,25,CIÊNCIA DE ALIMENTOS,1207,1298
2012,26,DIREITO,3329,3536
2012,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",3668,4047
2012,28,ECONOMIA,1259,1365
2012,29,ARQUITETURA E URBANISMO,1529,1597
2012,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,836,845
2012,31,CIÊNCIAS SOCIAIS APLICADAS I,1471,1580
2012,32,SERVIÇO SOCIAL,956,1004
2012,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,751,844
2012,34,SOCIOLOGIA,1338,1427
2012,35,ANTROPOLOGIA / ARQUEOLOGIA,509,539
2012,36,GEOGRAFIA,1588,1739
2012,37,PSICOLOGIA,2410,2651
2012,38,EDUCAÇÃO,5786,6125
2012,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,740,783
2012,40,HISTÓRIA,2232,2454
2012,41,LETRAS / LINGUÍSTICA,4286,4752
2012,42,CIÊNCIAS AGRÁRIAS I,6034,7167
2012,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,460,473
2012,45,INTERDISCIPLINAR,6837,7040
2012,46,ENSINO,1955,2001
2012,47,MATERIAIS,675,682
2012,48,BIOTECNOLOGIA,1218,1236
2012,49,CIÊNCIAS AMBIENTAIS,1924,1993
2012,50,NUTRIÇÃO,605,612
2013,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2490,2511
2013,2,CIÊNCIA DA COMPUTAÇÃO,2634,2649
2013,3,ASTRONOMIA / FÍSICA,1556,1567
2013,4,QUÍMICA,2197,2222
2013,5,GEOCIÊNCIAS,1160,1165
2013,6,CIÊNCIAS BIOLÓGICAS I,1394,1397
2013,7,BIODIVERSIDADE,2473,2478
2013,8,CIÊNCIAS BIOLÓGICAS II,1465,1467
2013,9,CIÊNCIAS BIOLÓGICAS III,708,708
2013,10,ENGENHARIAS I,2535,2541
2013,11,ARTES / MÚSICA,1181,1185
2013,12,ENGENHARIAS II,2691,2712
2013,13,ENGENHARIAS III,3797,3804
2013,14,ENGENHARIAS IV,2775,2784
2013,15,MEDICINA I,2631,2632
2013,16,MEDICINA II,2149,2149
2013,17,MEDICINA III,817,817
2013,18,ODONTOLOGIA,2312,2313
2013,19,FARMÁCIA,1306,1307
2013,20,ENFERMAGEM,1683,1686
2013,21,EDUCAÇÃO FÍSICA,1420,1420
2013,22,SAÚDE COLETIVA,1719,1721
2013,23,ZOOTECNIA / RECURSOS PESQUEIROS,1494,1495
2013,24,MEDICINA VETERINÁRIA,1732,1779
2013,25,CIÊNCIA DE ALIMENTOS,1016,1019
2013,26,DIREITO,3223,3229
2013,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",3677,3687
2013,28,ECONOMIA,1347,1348
2013,29,"ARQUITETURA, URBANISMO E DESIGN",1141,1142
2013,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,756,756
2013,31,COMUNICAÇÃO E INFORMAÇÃO,1466,1468
2013,32,SERVIÇO SOCIAL,687,687
2013,33,FILOSOFIA,868,870
