AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_DISTINTOS,CONTAGEM_PROGRAMAS_ATIVOS_DISTINTOS
2018,36,GEOGRAFIA,65,65
2018,37,PSICOLOGIA,92,92
2018,38,EDUCAÇÃO,176,176
2018,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,51,50
2018,40,HISTÓRIA,72,72
2018,41,LINGUÍSTICA E LITERATURA,153,153
2018,42,CIÊNCIAS AGRÁRIAS I,224,224
2018,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,21,21
2018,45,INTERDISCIPLINAR,353,343
2018,46,ENSINO,156,155
2018,47,MATERIAIS,36,36
2018,48,BIOTECNOLOGIA,63,62
2018,49,CIÊNCIAS AMBIENTAIS,123,121
2018,50,NUTRIÇÃO,32,32
2019,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,59,59
2019,2,CIÊNCIA DA COMPUTAÇÃO,85,84
2019,3,ASTRONOMIA / FÍSICA,64,62
2019,4,QUÍMICA,74,74
2019,5,GEOCIÊNCIAS,58,58
2019,6,CIÊNCIAS BIOLÓGICAS I,62,61
2019,7,BIODIVERSIDADE,145,142
2019,8,CIÊNCIAS BIOLÓGICAS II,78,78
2019,9,CIÊNCIAS BIOLÓGICAS III,36,36
2019,10,ENGENHARIAS I,126,124
2019,11,ARTES,69,68
2019,12,ENGENHARIAS II,97,93
2019,13,ENGENHARIAS III,135,126
2019,14,ENGENHARIAS IV,93,91
2019,15,MEDICINA I,106,104
2019,16,MEDICINA II,106,105
2019,17,MEDICINA III,50,50
2019,18,ODONTOLOGIA,104,102
2019,19,FARMÁCIA,70,70
2019,20,ENFERMAGEM,78,78
2019,21,EDUCAÇÃO FÍSICA,74,73
2019,22,SAÚDE COLETIVA,93,93
2019,23,ZOOTECNIA / RECURSOS PESQUEIROS,71,70
2019,24,MEDICINA VETERINÁRIA,85,85
2019,25,CIÊNCIA DE ALIMENTOS,61,61
2019,26,DIREITO,118,118
2019,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",191,186
2019,28,ECONOMIA,75,75
2019,29,"ARQUITETURA, URBANISMO E DESIGN",66,66
2019,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,50,49
2019,31,COMUNICAÇÃO E INFORMAÇÃO,91,89
2019,32,SERVIÇO SOCIAL,36,36
2019,33,FILOSOFIA,51,51
2019,34,SOCIOLOGIA,55,53
2019,35,ANTROPOLOGIA / ARQUEOLOGIA,37,37
2019,36,GEOGRAFIA,76,76
2019,37,PSICOLOGIA,99,99
2019,38,EDUCAÇÃO,184,183
2019,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,58,58
2019,40,HISTÓRIA,81,81
2019,41,LINGUÍSTICA E LITERATURA,161,160
2019,42,CIÊNCIAS AGRÁRIAS I,224,224
2019,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,20,20
2019,45,INTERDISCIPLINAR,366,355
2019,46,ENSINO,174,174
2019,47,MATERIAIS,41,41
2019,48,BIOTECNOLOGIA,68,66
2019,49,CIÊNCIAS AMBIENTAIS,134,133
2019,50,NUTRIÇÃO,35,35
2020,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,60,60
2020,2,CIÊNCIA DA COMPUTAÇÃO,86,85
2020,3,ASTRONOMIA / FÍSICA,64,62
2020,4,QUÍMICA,75,75
2020,5,GEOCIÊNCIAS,57,57
2020,6,CIÊNCIAS BIOLÓGICAS I,61,61
2020,7,BIODIVERSIDADE,144,141
2020,8,CIÊNCIAS BIOLÓGICAS II,79,78
2020,9,CIÊNCIAS BIOLÓGICAS III,36,36
2020,10,ENGENHARIAS I,127,127
2020,11,ARTES,68,68
2020,12,ENGENHARIAS II,95,93
2020,13,ENGENHARIAS III,128,125
2020,14,ENGENHARIAS IV,94,91
2020,15,MEDICINA I,110,110
2020,16,MEDICINA II,107,107
2020,17,MEDICINA III,51,51
2020,18,ODONTOLOGIA,100,98
2020,19,FARMÁCIA,69,69
2020,20,ENFERMAGEM,78,78
2020,21,EDUCAÇÃO FÍSICA,75,75
2020,22,SAÚDE COLETIVA,95,95
2020,23,ZOOTECNIA / RECURSOS PESQUEIROS,64,63
2020,24,MEDICINA VETERINÁRIA,83,83
2020,25,CIÊNCIA DE ALIMENTOS,60,60
2020,26,DIREITO,125,125
2020,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",189,186
2020,28,ECONOMIA,75,75
2020,29,"ARQUITETURA, URBANISMO E DESIGN",66,66
2020,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,49,48
2020,31,COMUNICAÇÃO E INFORMAÇÃO,91,90
