AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_DISCENTES
2010,6,CIÊNCIAS BIOLÓGICAS I,4469
2010,7,BIODIVERSIDADE,5000
2010,8,CIÊNCIAS BIOLÓGICAS II,4992
2010,9,CIÊNCIAS BIOLÓGICAS III,2289
2010,10,ENGENHARIAS I,5027
2010,11,ARTES / MÚSICA,1900
2010,12,ENGENHARIAS II,5962
2010,13,ENGENHARIAS III,5900
2010,14,ENGENHARIAS IV,5353
2010,15,MEDICINA I,5719
2010,16,MEDICINA II,5244
2010,17,MEDICINA III,2447
2010,18,ODONTOLOGIA,3898
2010,19,FARMÁCIA,2982
2010,20,ENFERMAGEM,3535
2010,21,EDUCAÇÃO FÍSICA,2861
2010,22,SAÚDE COLETIVA,3813
2010,23,ZOOTECNIA / RECURSOS PESQUEIROS,4076
2010,24,MEDICINA VETERINÁRIA,4551
2010,25,CIÊNCIA DE ALIMENTOS,2944
2010,26,DIREITO,5570
2010,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",4147
2010,28,ECONOMIA,2474
2010,29,ARQUITETURA E URBANISMO,2514
2010,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,1402
2010,31,CIÊNCIAS SOCIAIS APLICADAS I,2696
2010,32,SERVIÇO SOCIAL,1954
2010,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,1880
2010,34,SOCIOLOGIA,3138
2010,35,ANTROPOLOGIA / ARQUEOLOGIA,1385
2010,36,GEOGRAFIA,3290
2010,37,PSICOLOGIA,4534
2010,38,EDUCAÇÃO,7251
2010,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,1142
2010,40,HISTÓRIA,4009
2010,41,LETRAS / LINGUÍSTICA,4972
2010,42,CIÊNCIAS AGRÁRIAS I,7272
2010,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,1102
2010,45,INTERDISCIPLINAR,3086
2010,46,ENSINO,2044
2010,47,MATERIAIS,1392
2010,48,BIOTECNOLOGIA,2345
2010,49,CIÊNCIAS AMBIENTAIS,2178
2010,50,NUTRIÇÃO,1291
2011,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2016
2011,2,CIÊNCIA DA COMPUTAÇÃO,4598
2011,3,ASTRONOMIA / FÍSICA,3506
2011,4,QUÍMICA,5487
2011,5,GEOCIÊNCIAS,3201
2011,6,CIÊNCIAS BIOLÓGICAS I,4944
2011,7,BIODIVERSIDADE,5335
2011,8,CIÊNCIAS BIOLÓGICAS II,5295
2011,9,CIÊNCIAS BIOLÓGICAS III,2571
2011,10,ENGENHARIAS I,5184
2011,11,ARTES / MÚSICA,2038
2011,12,ENGENHARIAS II,6466
2011,13,ENGENHARIAS III,6027
2011,14,ENGENHARIAS IV,5550
2011,15,MEDICINA I,5885
2011,16,MEDICINA II,5581
2011,17,MEDICINA III,2551
2011,18,ODONTOLOGIA,4321
2011,19,FARMÁCIA,3416
2011,20,ENFERMAGEM,4011
2011,21,EDUCAÇÃO FÍSICA,3059
2011,22,SAÚDE COLETIVA,4104
2011,23,ZOOTECNIA / RECURSOS PESQUEIROS,4447
2011,24,MEDICINA VETERINÁRIA,4910
2011,25,CIÊNCIA DE ALIMENTOS,3163
2011,26,DIREITO,5801
2011,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",4410
2011,28,ECONOMIA,2575
2011,29,ARQUITETURA E URBANISMO,2704
2011,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,1523
2011,31,CIÊNCIAS SOCIAIS APLICADAS I,2937
2011,32,SERVIÇO SOCIAL,2009
2011,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,2028
2011,34,SOCIOLOGIA,3377
2011,35,ANTROPOLOGIA / ARQUEOLOGIA,1449
2011,36,GEOGRAFIA,3466
2011,37,PSICOLOGIA,4774
2011,38,EDUCAÇÃO,7444
2011,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,1228
2011,40,HISTÓRIA,4061
2011,41,LETRAS / LINGUÍSTICA,5312
2011,42,CIÊNCIAS AGRÁRIAS I,7813
2011,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,1186
2011,45,INTERDISCIPLINAR,3319
2011,46,ENSINO,2255
2011,47,MATERIAIS,1597
2011,48,BIOTECNOLOGIA,2626
2011,49,CIÊNCIAS AMBIENTAIS,2435
2011,50,NUTRIÇÃO,1356
2012,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,2126
2012,2,CIÊNCIA DA COMPUTAÇÃO,4966
2012,3,ASTRONOMIA / FÍSICA,3719
2012,4,QUÍMICA,5810
2012,5,GEOCIÊNCIAS,3388
2012,6,CIÊNCIAS BIOLÓGICAS I,5489
2012,7,BIODIVERSIDADE,5734
2012,8,CIÊNCIAS BIOLÓGICAS II,5514
2012,9,CIÊNCIAS BIOLÓGICAS III,2769
2012,10,ENGENHARIAS I,5323
2012,11,ARTES / MÚSICA,2308
2012,12,ENGENHARIAS II,6705
2012,13,ENGENHARIAS III,6585
2012,14,ENGENHARIAS IV,5703
2012,15,MEDICINA I,6339
2012,16,MEDICINA II,5858
2012,17,MEDICINA III,2636
2012,18,ODONTOLOGIA,4656
2012,19,FARMÁCIA,3683
2012,20,ENFERMAGEM,4398
2012,21,EDUCAÇÃO FÍSICA,3438
2012,22,SAÚDE COLETIVA,4379
2012,23,ZOOTECNIA / RECURSOS PESQUEIROS,5006
2012,24,MEDICINA VETERINÁRIA,5421
2012,25,CIÊNCIA DE ALIMENTOS,3264
2012,26,DIREITO,6352
2012,27,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",4486
2012,28,ECONOMIA,2577
2012,29,ARQUITETURA E URBANISMO,3239
2012,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,1554
2012,31,CIÊNCIAS SOCIAIS APLICADAS I,3138
2012,32,SERVIÇO SOCIAL,2077
2012,33,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,2125
2012,34,SOCIOLOGIA,3429
2012,35,ANTROPOLOGIA / ARQUEOLOGIA,1600
2012,36,GEOGRAFIA,3683
2012,37,PSICOLOGIA,4934
2012,38,EDUCAÇÃO,8107
2012,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,1352
2012,40,HISTÓRIA,4247
2012,41,LETRAS / LINGUÍSTICA,5537
2012,42,CIÊNCIAS AGRÁRIAS I,8345
2012,44,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,1286
2012,45,INTERDISCIPLINAR,3733
2012,46,ENSINO,2523
2012,47,MATERIAIS,1787
2012,48,BIOTECNOLOGIA,2995
2012,49,CIÊNCIAS AMBIENTAIS,2800
2012,50,NUTRIÇÃO,1419
2013,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,6862
2013,2,CIÊNCIA DA COMPUTAÇÃO,7890
2013,3,ASTRONOMIA / FÍSICA,4366
2013,4,QUÍMICA,7129
2013,5,GEOCIÊNCIAS,3643
2013,6,CIÊNCIAS BIOLÓGICAS I,4995
2013,7,BIODIVERSIDADE,8396
2013,8,CIÊNCIAS BIOLÓGICAS II,5395
2013,9,CIÊNCIAS BIOLÓGICAS III,2501
2013,10,ENGENHARIAS I,8044
2013,11,ARTES / MÚSICA,3514
2013,12,ENGENHARIAS II,8668
2013,13,ENGENHARIAS III,11494
2013,14,ENGENHARIAS IV,8903
2013,15,MEDICINA I,8278
2013,16,MEDICINA II,7193
2013,17,MEDICINA III,2703
2013,18,ODONTOLOGIA,6290
2013,19,FARMÁCIA,3734
2013,20,ENFERMAGEM,4605
2013,21,EDUCAÇÃO FÍSICA,3690
2013,22,SAÚDE COLETIVA,5391
2013,23,ZOOTECNIA / RECURSOS PESQUEIROS,4846
2013,24,MEDICINA VETERINÁRIA,5137
2013,25,CIÊNCIA DE ALIMENTOS,3316
2013,26,DIREITO,9558
2013,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",10205
2013,28,ECONOMIA,4060
2013,29,"ARQUITETURA, URBANISMO E DESIGN",3459
2013,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,2117
2013,31,COMUNICAÇÃO E INFORMAÇÃO,4390
2013,32,SERVIÇO SOCIAL,2126
2013,33,FILOSOFIA,2931
2013,34,SOCIOLOGIA,4835
2013,35,ANTROPOLOGIA / ARQUEOLOGIA,1824
2013,36,GEOGRAFIA,4578
2013,37,PSICOLOGIA,6793
2013,38,EDUCAÇÃO,16759
2013,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,2087
2013,40,HISTÓRIA,5961
2013,41,LETRAS / LINGUÍSTICA,14652
2013,42,CIÊNCIAS AGRÁRIAS I,15215
2013,44,TEOLOGIA,1616
2013,45,INTERDISCIPLINAR,15036
2013,46,ENSINO,5469
2013,47,MATERIAIS,1914
2013,48,BIOTECNOLOGIA,3165
2013,49,CIÊNCIAS AMBIENTAIS,4564
2013,50,NUTRIÇÃO,1136
2014,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,7090
2014,2,CIÊNCIA DA COMPUTAÇÃO,8409
2014,3,ASTRONOMIA / FÍSICA,4565
2014,4,QUÍMICA,7378
2014,5,GEOCIÊNCIAS,3777
2014,6,CIÊNCIAS BIOLÓGICAS I,4999
2014,7,BIODIVERSIDADE,8506
2014,8,CIÊNCIAS BIOLÓGICAS II,5496
2014,9,CIÊNCIAS BIOLÓGICAS III,2512
2014,10,ENGENHARIAS I,8666
2014,11,ARTES / MÚSICA,4003
2014,12,ENGENHARIAS II,9030
2014,13,ENGENHARIAS III,12390
2014,14,ENGENHARIAS IV,9064
2014,15,MEDICINA I,8550
2014,16,MEDICINA II,7408
2014,17,MEDICINA III,2782
2014,18,ODONTOLOGIA,6526
2014,19,FARMÁCIA,4011
2014,20,ENFERMAGEM,5030
2014,21,EDUCAÇÃO FÍSICA,4104
2014,22,SAÚDE COLETIVA,5635
2014,23,ZOOTECNIA / RECURSOS PESQUEIROS,4958
2014,24,MEDICINA VETERINÁRIA,5282
2014,25,CIÊNCIA DE ALIMENTOS,3383
2014,26,DIREITO,10316
2014,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",11169
2014,28,ECONOMIA,4148
2014,29,"ARQUITETURA, URBANISMO E DESIGN",3807
2014,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,2311
2014,31,COMUNICAÇÃO E INFORMAÇÃO,4750
2014,32,SERVIÇO SOCIAL,2210
2014,33,FILOSOFIA,3082
2014,34,SOCIOLOGIA,4920
2014,35,ANTROPOLOGIA / ARQUEOLOGIA,1950
2014,36,GEOGRAFIA,4877
2014,37,PSICOLOGIA,7026
2014,38,EDUCAÇÃO,17993
2014,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,2280
2014,40,HISTÓRIA,6531
2014,41,LETRAS / LINGUÍSTICA,15159
2014,42,CIÊNCIAS AGRÁRIAS I,15786
2014,44,TEOLOGIA,1647
2014,45,INTERDISCIPLINAR,17019
2014,46,ENSINO,6528
2014,47,MATERIAIS,2073
2014,48,BIOTECNOLOGIA,3595
2014,49,CIÊNCIAS AMBIENTAIS,5176
2014,50,NUTRIÇÃO,1281
2015,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,7225
2015,2,CIÊNCIA DA COMPUTAÇÃO,8882
2015,3,ASTRONOMIA / FÍSICA,4848
2015,4,QUÍMICA,7573
2015,5,GEOCIÊNCIAS,3989
2015,6,CIÊNCIAS BIOLÓGICAS I,5012
2015,7,BIODIVERSIDADE,8738
2015,8,CIÊNCIAS BIOLÓGICAS II,5743
2015,9,CIÊNCIAS BIOLÓGICAS III,2613
2015,10,ENGENHARIAS I,9230
2015,11,ARTES / MÚSICA,4318
2015,12,ENGENHARIAS II,9429
2015,13,ENGENHARIAS III,13159
2015,14,ENGENHARIAS IV,9316
2015,15,MEDICINA I,9095
2015,16,MEDICINA II,7644
2015,17,MEDICINA III,2938
2015,18,ODONTOLOGIA,6920
2015,19,FARMÁCIA,4276
2015,20,ENFERMAGEM,5434
2015,21,EDUCAÇÃO FÍSICA,4565
2015,22,SAÚDE COLETIVA,5880
2015,23,ZOOTECNIA / RECURSOS PESQUEIROS,4982
2015,24,MEDICINA VETERINÁRIA,5524
2015,25,CIÊNCIA DE ALIMENTOS,3514
2015,26,DIREITO,11208
2015,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",12181
2015,28,ECONOMIA,4264
2015,29,"ARQUITETURA, URBANISMO E DESIGN",4215
2015,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,2345
2015,31,COMUNICAÇÃO E INFORMAÇÃO,5134
2015,32,SERVIÇO SOCIAL,2255
2015,33,FILOSOFIA,3292
2015,34,SOCIOLOGIA,5012
2015,35,ANTROPOLOGIA / ARQUEOLOGIA,2061
2015,36,GEOGRAFIA,5248
2015,37,PSICOLOGIA,7386
2015,38,EDUCAÇÃO,19358
2015,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,2506
2015,40,HISTÓRIA,6904
2015,41,LETRAS / LINGUÍSTICA,16492
2015,42,CIÊNCIAS AGRÁRIAS I,16237
2015,44,TEOLOGIA,1801
2015,45,INTERDISCIPLINAR,19073
2015,46,ENSINO,7770
2015,47,MATERIAIS,2198
2015,48,BIOTECNOLOGIA,3998
2015,49,CIÊNCIAS AMBIENTAIS,5999
