AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_PROGRAMAS_PROXY_DISCENTES
2014,5,GEOCIÊNCIAS,51
2014,6,CIÊNCIAS BIOLÓGICAS I,61
2014,7,BIODIVERSIDADE,133
2014,8,CIÊNCIAS BIOLÓGICAS II,69
2014,9,CIÊNCIAS BIOLÓGICAS III,34
2014,10,ENGENHARIAS I,105
2014,11,ARTES / MÚSICA,50
2014,12,ENGENHARIAS II,84
2014,13,ENGENHARIAS III,118
2014,14,ENGENHARIAS IV,83
2014,15,MEDICINA I,89
2014,16,MEDICINA II,87
2014,17,MEDICINA III,40
2014,18,ODONTOLOGIA,98
2014,19,FARMÁCIA,60
2014,20,ENFERMAGEM,66
2014,21,EDUCAÇÃO FÍSICA,51
2014,22,SAÚDE COLETIVA,75
2014,23,ZOOTECNIA / RECURSOS PESQUEIROS,64
2014,24,MEDICINA VETERINÁRIA,65
2014,25,CIÊNCIA DE ALIMENTOS,48
2014,26,DIREITO,87
2014,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",148
2014,28,ECONOMIA,57
2014,29,"ARQUITETURA, URBANISMO E DESIGN",54
2014,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,39
2014,31,COMUNICAÇÃO E INFORMAÇÃO,62
2014,32,SERVIÇO SOCIAL,33
2014,33,FILOSOFIA,43
2014,34,SOCIOLOGIA,51
2014,35,ANTROPOLOGIA / ARQUEOLOGIA,27
2014,36,GEOGRAFIA,56
2014,37,PSICOLOGIA,75
2014,38,EDUCAÇÃO,155
2014,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,37
2014,40,HISTÓRIA,70
2014,41,LETRAS / LINGUÍSTICA,141
2014,42,CIÊNCIAS AGRÁRIAS I,218
2014,44,TEOLOGIA,20
2014,45,INTERDISCIPLINAR,287
2014,46,ENSINO,115
2014,47,MATERIAIS,30
2014,48,BIOTECNOLOGIA,52
2014,49,CIÊNCIAS AMBIENTAIS,97
2014,50,NUTRIÇÃO,25
2015,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,59
2015,2,CIÊNCIA DA COMPUTAÇÃO,74
2015,3,ASTRONOMIA / FÍSICA,59
2015,4,QUÍMICA,65
2015,5,GEOCIÊNCIAS,54
2015,6,CIÊNCIAS BIOLÓGICAS I,64
2015,7,BIODIVERSIDADE,139
2015,8,CIÊNCIAS BIOLÓGICAS II,72
2015,9,CIÊNCIAS BIOLÓGICAS III,34
2015,10,ENGENHARIAS I,111
2015,11,ARTES / MÚSICA,52
2015,12,ENGENHARIAS II,87
2015,13,ENGENHARIAS III,124
2015,14,ENGENHARIAS IV,83
2015,15,MEDICINA I,91
2015,16,MEDICINA II,93
2015,17,MEDICINA III,45
2015,18,ODONTOLOGIA,97
2015,19,FARMÁCIA,62
2015,20,ENFERMAGEM,70
2015,21,EDUCAÇÃO FÍSICA,56
2015,22,SAÚDE COLETIVA,83
2015,23,ZOOTECNIA / RECURSOS PESQUEIROS,67
2015,24,MEDICINA VETERINÁRIA,71
2015,25,CIÊNCIA DE ALIMENTOS,51
2015,26,DIREITO,92
2015,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",164
2015,28,ECONOMIA,61
2015,29,"ARQUITETURA, URBANISMO E DESIGN",56
2015,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,41
2015,31,COMUNICAÇÃO E INFORMAÇÃO,67
2015,32,SERVIÇO SOCIAL,33
2015,33,FILOSOFIA,45
2015,34,SOCIOLOGIA,51
2015,35,ANTROPOLOGIA / ARQUEOLOGIA,28
2015,36,GEOGRAFIA,62
2015,37,PSICOLOGIA,80
2015,38,EDUCAÇÃO,163
2015,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,40
2015,40,HISTÓRIA,70
2015,41,LETRAS / LINGUÍSTICA,146
2015,42,CIÊNCIAS AGRÁRIAS I,218
2015,44,TEOLOGIA,21
2015,45,INTERDISCIPLINAR,297
2015,46,ENSINO,129
2015,47,MATERIAIS,32
2015,48,BIOTECNOLOGIA,56
2015,49,CIÊNCIAS AMBIENTAIS,105
2015,50,NUTRIÇÃO,26
2016,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,59
2016,2,CIÊNCIA DA COMPUTAÇÃO,77
2016,3,ASTRONOMIA / FÍSICA,63
2016,4,QUÍMICA,69
2016,5,GEOCIÊNCIAS,55
2016,6,CIÊNCIAS BIOLÓGICAS I,64
2016,7,BIODIVERSIDADE,142
2016,8,CIÊNCIAS BIOLÓGICAS II,73
2016,9,CIÊNCIAS BIOLÓGICAS III,35
2016,10,ENGENHARIAS I,115
2016,11,ARTES / MÚSICA,56
2016,12,ENGENHARIAS II,93
2016,13,ENGENHARIAS III,127
2016,14,ENGENHARIAS IV,87
2016,15,MEDICINA I,95
2016,16,MEDICINA II,100
2016,17,MEDICINA III,47
2016,18,ODONTOLOGIA,102
2016,19,FARMÁCIA,64
2016,20,ENFERMAGEM,74
2016,21,EDUCAÇÃO FÍSICA,63
2016,22,SAÚDE COLETIVA,86
